business_id,business_type,business_age_months,loan_amount_requested,loan_purpose,stated_annual_turnover,avg_monthly_bank_credit,turnover_bank_ratio,num_employees_stated,gst_returns_filed_last_12,gst_filing_consistency,num_companies_director_linked,any_linked_company_defaulted,address_type,num_businesses_at_same_address,address_verified,years_of_itr_filed,itr_turnover_match,existing_loans,loan_to_turnover_ratio,application_hour,is_ghost
B1401,Pvt Ltd,39,500000,equipment purchase,13014863,1097227,0.99,10.0,5,35684.65,10,0,commercial,14,0,1.0,1,4,0.04,15,0
B1402,Pvt Ltd,73,2500000,inventory,2648652,243008,0.91,28.0,6,41368.24,5,1,commercial,17,1,0.0,0,1,0.94,7,1
B1403,Pvt Ltd,78,250000,equipment purchase,5544661,545102,0.85,36.0,6,5023.18,1,0,commercial,34,1,2.0,0,3,0.05,17,0
B1404,Proprietorship,28,2500000,expansion,8722819,608080,1.2,17.0,11,33924.86,6,0,commercial,17,0,2.0,1,3,0.29,8,0
B1405,LLP,71,100000,working capital,12770292,851536,1.25,36.0,6,13291.36,7,0,residential,51,1,3.0,1,1,0.01,3,0
B1406,LLP,119,2500000,working capital,4918349,291724,1.4,22.0,11,39293.58,8,0,commercial,57,0,2.0,0,3,0.51,13,0
B1407,Proprietorship,64,250000,expansion,11690751,815286,1.19,23.0,2,,13,0,commercial,41,1,7.0,1,4,0.02,23,0
B1408,Proprietorship,104,250000,equipment purchase,2267588,134986,1.4,29.0,0,45074.48,12,0,commercial,56,1,3.0,0,4,0.11,19,0
B1409,LLP,60,500000,inventory,13265071,1002932,1.1,22.0,5,5747.61,3,0,residential,25,1,9.0,1,1,0.04,21,0
B1410,Proprietorship,80,2500000,equipment purchase,9099469,597088,1.27,11.0,2,,14,0,commercial,44,1,0.0,0,4,0.27,23,1
B1411,Pvt Ltd,42,100000,working capital,3438493,300277,0.95,36.0,12,18216.14,14,1,commercial,30,0,,0,2,0.03,20,1
B1412,Pvt Ltd,87,250000,expansion,4984045,386361,1.07,44.0,2,6114.81,3,0,coworking,48,1,6.0,0,4,0.05,21,1
B1413,Pvt Ltd,38,2500000,expansion,18915703,1191927,1.32,29.0,2,4906.3,11,0,commercial,36,1,5.0,1,0,0.13,17,0
B1414,Pvt Ltd,36,250000,equipment purchase,15582712,1220541,1.06,42.0,8,19244.51,1,0,commercial,56,0,8.0,1,1,0.02,19,0
B1415,LLP,113,100000,equipment purchase,16745549,1152106,1.21,32.0,11,49603.58,12,0,residential,11,0,5.0,0,1,0.01,4,0
B1416,Partnership,22,250000,expansion,15114706,1395725,0.9,14.0,3,28447.13,9,0,virtual office,21,1,1.0,1,3,0.02,0,0
B1417,Pvt Ltd,116,250000,working capital,1378269,105513,1.09,18.0,4,31089.08,5,1,commercial,20,1,7.0,1,3,0.18,22,0
B1418,Pvt Ltd,93,2500000,inventory,549314,36081,1.27,38.0,2,23550.95,6,1,residential,29,1,8.0,0,3,4.55,5,1
B1419,LLP,106,1000000,inventory,14101360,1069072,1.1,37.0,9,33116.53,3,0,coworking,4,1,4.0,1,0,0.07,19,0
B1420,Partnership,95,500000,equipment purchase,13966793,971421,1.2,34.0,12,47833.1,4,0,commercial,34,0,5.0,1,4,0.04,3,0
B1421,Pvt Ltd,81,5000000,expansion,12364437,1213226,0.85,45.0,11,29434.9,5,1,commercial,42,1,3.0,0,1,0.4,18,0
B1422,LLP,110,500000,expansion,14568419,1566129,0.78,23.0,0,3251.92,5,0,residential,41,1,1.0,1,4,0.03,16,0
B1423,Pvt Ltd,57,100000,expansion,12218858,728340,1.4,32.0,11,24644.53,9,0,commercial,57,0,4.0,1,3,0.01,5,0
B1424,Pvt Ltd,44,250000,working capital,8033006,745738,0.9,46.0,3,49637.56,8,0,commercial,17,0,4.0,1,1,0.03,4,0
B1425,Partnership,79,250000,equipment purchase,1929911,138048,1.16,3.0,0,19370.14,1,0,virtual office,12,0,0.0,1,3,0.13,5,0
B1426,Partnership,94,100000,equipment purchase,17606113,1085483,1.35,,10,29694.06,2,1,commercial,4,1,4.0,1,0,0.01,0,0
B1427,Pvt Ltd,46,2500000,equipment purchase,2894538,170925,1.41,22.0,10,,12,0,commercial,41,1,0.0,1,1,0.86,17,0
B1428,Partnership,72,1000000,working capital,17645622,1806626,0.81,23.0,6,7059.02,5,0,commercial,14,1,2.0,1,3,0.06,14,0
B1429,LLP,13,250000,equipment purchase,12288604,934101,1.1,4.0,6,43734.07,12,0,residential,4,1,8.0,1,3,0.02,15,0
B1430,Proprietorship,44,500000,inventory,11871998,1282894,0.77,13.0,3,15017.23,3,1,commercial,34,1,3.0,1,3,0.04,22,0
B1431,LLP,62,1000000,equipment purchase,2958020,237979,1.04,32.0,4,15272.56,7,0,residential,18,1,8.0,1,0,0.34,8,1
B1432,LLP,69,2500000,equipment purchase,2086444,141279,1.23,29.0,9,19360.65,14,0,residential,13,1,5.0,1,4,1.2,21,1
B1433,LLP,48,2500000,equipment purchase,4274150,415406,0.86,40.0,6,48323.93,11,0,commercial,10,1,0.0,1,4,0.58,21,0
B1434,LLP,32,500000,working capital,5576703,583646,0.8,40.0,12,4219.52,6,0,coworking,14,1,2.0,1,4,0.09,4,0
B1435,Pvt Ltd,91,1000000,inventory,3192787,316451,0.84,,5,40938.21,2,0,coworking,9,1,2.0,1,0,0.31,10,0
B1436,Pvt Ltd,18,500000,inventory,18399947,1758911,0.87,10.0,12,17077.89,8,0,commercial,43,1,3.0,1,4,0.03,4,0
B1437,Pvt Ltd,75,500000,expansion,5440172,408384,1.11,13.0,3,,5,0,commercial,20,1,9.0,1,4,0.09,5,0
B1438,Proprietorship,100,100000,expansion,15586807,959490,1.35,45.0,3,49587.78,6,0,commercial,1,0,3.0,1,0,0.01,1,0
B1439,Pvt Ltd,30,100000,inventory,9003135,615799,1.22,17.0,1,,8,0,commercial,44,1,7.0,1,1,0.01,9,0
B1440,LLP,110,500000,equipment purchase,3322097,268006,1.03,38.0,9,6467.82,13,0,commercial,29,1,2.0,1,3,0.15,21,0
B1441,Partnership,35,250000,equipment purchase,15378575,1632333,0.79,2.0,1,7218.77,6,0,commercial,17,0,,0,3,0.02,3,0
B1442,Pvt Ltd,32,100000,equipment purchase,19889921,1879121,0.88,17.0,11,37937.04,10,0,commercial,49,0,2.0,0,0,0.01,13,0
B1443,LLP,50,1000000,working capital,1226272,122317,0.84,44.0,3,7246.08,3,0,commercial,8,1,6.0,1,4,0.82,2,0
B1444,LLP,103,100000,equipment purchase,19583358,1413879,1.15,26.0,4,13021.08,13,0,commercial,17,1,5.0,1,2,0.01,12,0
B1445,Proprietorship,62,500000,working capital,7862481,727472,0.9,38.0,3,10219.92,7,0,commercial,21,1,0.0,1,4,0.06,22,0
B1446,Pvt Ltd,77,500000,inventory,639648,64895,0.82,37.0,2,17783.93,14,0,commercial,25,0,9.0,1,2,0.78,14,0
B1447,LLP,56,5000000,equipment purchase,9327698,767706,1.01,,10,3718.33,4,0,commercial,20,1,0.0,1,3,0.54,15,0
B1448,Proprietorship,70,500000,equipment purchase,18796207,1500462,1.04,25.0,1,42837.12,13,0,coworking,59,0,5.0,1,0,0.03,4,0
B1449,Partnership,36,100000,expansion,12332825,1163029,0.88,9.0,3,43007.32,6,0,commercial,25,0,2.0,1,4,0.01,9,0
B1450,LLP,74,500000,inventory,16346566,1411181,0.97,28.0,10,20646.64,6,0,coworking,21,1,8.0,0,0,0.03,2,0
B1451,LLP,86,1000000,equipment purchase,5081024,548709,0.77,22.0,4,30604.38,11,0,commercial,13,1,,1,4,0.2,15,0
B1452,LLP,37,5000000,working capital,1355860,107910,1.05,29.0,0,32097.58,5,0,residential,57,1,2.0,1,4,3.69,7,0
B1453,Proprietorship,72,250000,inventory,5442312,365345,1.24,35.0,12,37462.91,13,0,commercial,13,1,8.0,0,4,0.05,15,0
B1454,LLP,85,250000,expansion,4698625,384958,1.02,20.0,0,26034.5,1,0,virtual office,47,1,5.0,1,2,0.05,4,0
B1455,Pvt Ltd,64,2500000,inventory,5486512,384569,1.19,5.0,5,25516.8,14,0,commercial,50,0,0.0,1,0,0.46,10,0
B1456,Partnership,86,100000,working capital,3623544,313059,0.96,39.0,4,31565.19,8,0,coworking,30,0,,1,3,0.03,18,0
B1457,LLP,48,500000,expansion,7069719,456867,1.29,44.0,10,35152.42,13,0,commercial,13,1,6.0,1,1,0.07,15,0
B1458,LLP,105,250000,working capital,4331657,458428,0.79,32.0,3,17334.52,14,1,commercial,40,1,5.0,0,2,0.06,13,1
B1459,Pvt Ltd,119,100000,inventory,6921534,701320,0.82,39.0,0,16518.52,10,0,commercial,7,1,0.0,1,3,0.01,10,0
B1460,LLP,46,250000,expansion,3291108,217580,1.26,10.0,11,13485.92,2,0,residential,55,1,9.0,1,0,0.08,13,0
B1461,Pvt Ltd,45,250000,working capital,17592327,1177858,1.24,40.0,6,27442.33,4,0,coworking,51,1,1.0,0,1,0.01,15,0
B1462,LLP,46,500000,inventory,15147709,1271729,0.99,17.0,3,18007.78,13,0,commercial,42,1,5.0,1,1,0.03,17,1
B1463,Pvt Ltd,47,2500000,working capital,4585572,444696,0.86,37.0,2,27015.66,12,1,residential,12,1,5.0,1,0,0.55,2,1
B1464,LLP,90,250000,equipment purchase,14317990,992054,1.2,15.0,6,20299.24,3,1,residential,2,1,5.0,1,2,0.02,2,0
B1465,Partnership,25,1000000,inventory,7848227,481739,1.36,9.0,1,41836.71,6,0,commercial,59,1,8.0,1,4,0.13,0,0
B1466,Pvt Ltd,66,100000,expansion,14082513,1205604,0.97,32.0,9,3656.51,11,0,residential,14,1,1.0,1,4,0.01,11,0
B1467,Partnership,93,500000,expansion,11764745,1093099,0.9,23.0,0,28610.53,1,1,commercial,42,1,9.0,1,4,0.04,6,0
B1468,LLP,26,100000,equipment purchase,19068986,1345347,1.18,11.0,10,28781.19,9,0,commercial,17,1,9.0,1,3,0.01,10,0
B1469,Proprietorship,91,2500000,working capital,1282129,122214,0.87,13.0,3,,5,0,residential,13,1,8.0,1,0,1.95,12,1
B1470,Proprietorship,46,1000000,working capital,9822188,1039831,0.79,18.0,12,21051.04,5,0,commercial,1,0,8.0,0,2,0.1,13,0
B1471,LLP,52,500000,expansion,8691187,566552,1.28,49.0,7,40006.57,4,0,virtual office,55,1,9.0,0,0,0.06,21,0
B1472,Proprietorship,40,1000000,working capital,7359186,617323,0.99,9.0,12,14033.69,4,0,virtual office,57,1,8.0,1,1,0.14,11,0
B1473,Proprietorship,41,500000,inventory,18855472,1153491,1.36,42.0,5,43570.19,13,0,virtual office,47,1,8.0,1,3,0.03,5,1
B1474,LLP,27,5000000,inventory,8348225,573242,1.21,5.0,8,44817.17,13,0,commercial,1,1,,1,2,0.6,5,1
B1475,Pvt Ltd,24,1000000,expansion,18842690,1183778,1.33,43.0,0,,1,1,commercial,47,1,9.0,1,1,0.05,6,0
B1476,LLP,43,2500000,inventory,14813954,1163394,1.06,22.0,0,38642.89,9,1,commercial,26,1,8.0,1,4,0.17,5,1
B1477,Proprietorship,29,500000,expansion,15836117,1573712,0.84,32.0,10,30647.38,9,0,coworking,52,1,9.0,0,4,0.03,8,0
B1478,Proprietorship,79,100000,working capital,1123761,97980,0.96,47.0,4,26262.96,13,1,commercial,47,1,8.0,1,4,0.09,20,1
B1479,Proprietorship,79,500000,working capital,13011661,903823,1.2,2.0,5,,4,0,commercial,46,1,2.0,1,0,0.04,16,0
B1480,LLP,107,100000,working capital,19841743,1197228,1.38,21.0,7,14132.75,10,0,commercial,13,1,3.0,0,1,0.01,16,0
B1481,Proprietorship,62,500000,equipment purchase,16734016,1439179,0.97,28.0,2,7707.55,10,0,commercial,34,1,3.0,1,2,0.03,14,0
B1482,Pvt Ltd,16,500000,expansion,15977848,1038131,1.28,24.0,5,14374.27,4,0,commercial,40,1,3.0,1,1,0.03,0,0
B1483,LLP,90,500000,inventory,3953705,298386,1.1,24.0,2,30731.28,12,0,commercial,9,1,6.0,0,2,0.13,13,0
B1484,Pvt Ltd,19,100000,working capital,6271486,525819,0.99,14.0,7,,7,0,commercial,51,1,4.0,1,3,0.02,1,0
B1485,Pvt Ltd,102,100000,equipment purchase,12670987,1311700,0.8,37.0,11,45440.7,4,0,coworking,19,0,6.0,1,3,0.01,19,0
B1486,Pvt Ltd,24,500000,inventory,2959288,184732,1.33,27.0,10,20551.22,1,0,residential,23,0,5.0,1,2,0.17,21,0
B1487,Pvt Ltd,102,5000000,inventory,17081075,1567422,0.91,24.0,10,42498.14,11,0,residential,41,0,6.0,1,1,0.29,6,0
B1488,LLP,86,250000,inventory,6949720,410293,1.41,6.0,3,12461.83,13,0,commercial,55,1,7.0,1,2,0.04,12,0
B1489,Pvt Ltd,61,250000,working capital,19220065,1726514,0.93,26.0,1,15658.42,9,0,virtual office,28,0,5.0,1,2,0.01,20,1
B1490,LLP,79,1000000,inventory,1649302,141691,0.97,15.0,11,2961.17,2,0,coworking,30,1,8.0,0,4,0.61,6,0
B1491,Pvt Ltd,16,500000,expansion,6880655,680680,0.84,,8,12888.38,5,0,coworking,7,1,3.0,0,2,0.07,17,0
B1492,Pvt Ltd,108,250000,equipment purchase,17242926,1464208,0.98,36.0,9,24515.69,4,0,commercial,14,1,4.0,1,4,0.01,5,0
B1493,Pvt Ltd,30,250000,inventory,2978491,226258,1.1,10.0,12,,8,0,virtual office,2,1,8.0,1,4,0.08,18,0
B1494,Pvt Ltd,65,250000,inventory,18307628,1290154,1.18,28.0,7,19445.15,6,1,commercial,12,1,8.0,1,2,0.01,8,0
B1495,LLP,37,5000000,expansion,17445777,1092032,1.33,9.0,5,31987.19,13,0,commercial,43,1,1.0,1,0,0.29,9,0
B1496,LLP,35,100000,inventory,14501139,1233524,0.98,21.0,2,21385.51,2,0,commercial,49,1,1.0,0,1,0.01,3,0
B1497,LLP,107,250000,working capital,15089301,1550417,0.81,10.0,1,2339.59,4,1,residential,2,1,8.0,1,2,0.02,20,0
B1498,LLP,14,100000,working capital,10831789,910634,0.99,4.0,12,25176.63,14,0,commercial,28,1,5.0,0,3,0.01,20,0
B1499,Pvt Ltd,77,250000,working capital,5246865,499965,0.87,4.0,3,3295.68,4,0,commercial,54,1,7.0,1,2,0.05,11,0
B1500,Proprietorship,61,1000000,inventory,16931553,1240322,1.14,6.0,3,44185.0,12,0,residential,28,1,7.0,1,2,0.06,12,1
B1501,LLP,14,250000,equipment purchase,5248065,423728,1.03,26.0,0,37651.85,13,0,commercial,12,1,7.0,1,3,0.05,17,0
B1502,LLP,74,100000,equipment purchase,17862914,1331921,1.12,40.0,8,18932.57,2,0,commercial,30,1,4.0,0,4,0.01,12,0
B1503,Pvt Ltd,17,500000,inventory,16881464,1076980,1.31,16.0,9,32010.93,10,0,commercial,58,1,9.0,1,4,0.03,19,0
B1504,Pvt Ltd,115,100000,equipment purchase,5101199,403927,1.05,8.0,7,,4,0,commercial,47,1,3.0,1,0,0.02,22,0
B1505,Pvt Ltd,44,100000,equipment purchase,13274667,1281638,0.86,28.0,6,35127.75,9,0,commercial,40,0,,1,2,0.01,17,0
B1506,Pvt Ltd,63,1000000,inventory,6117789,477689,1.07,16.0,5,41136.62,8,0,commercial,40,1,3.0,1,2,0.16,4,1
B1507,LLP,83,1000000,working capital,9966617,905390,0.92,,2,41087.28,11,0,coworking,22,1,7.0,1,1,0.1,15,0
B1508,LLP,32,2500000,inventory,10651279,1025335,0.87,49.0,3,14213.88,14,0,virtual office,18,1,3.0,0,4,0.23,20,1
B1509,LLP,57,2500000,working capital,11650890,867643,1.12,1.0,1,,1,0,commercial,14,0,7.0,0,2,0.21,20,0
B1510,Proprietorship,53,500000,working capital,19705797,1935287,0.85,19.0,6,26069.88,13,0,commercial,25,1,7.0,0,1,0.03,22,0
B1511,Proprietorship,102,100000,equipment purchase,5122791,385641,1.11,,1,48388.61,8,0,commercial,10,1,0.0,0,0,0.02,9,0
B1512,Proprietorship,73,1000000,equipment purchase,10141647,721463,1.17,49.0,9,46026.15,14,0,commercial,36,1,,1,1,0.1,13,0
B1513,Partnership,16,1000000,working capital,6640994,461254,1.2,28.0,0,17981.92,11,0,commercial,48,0,2.0,1,4,0.15,22,0
B1514,Pvt Ltd,76,1000000,working capital,15945057,1089502,1.22,44.0,5,38991.48,9,0,commercial,48,1,5.0,1,4,0.06,14,0
B1515,Pvt Ltd,104,500000,equipment purchase,523439,49825,0.88,12.0,3,46065.89,8,0,commercial,53,1,2.0,1,0,0.96,10,1
B1516,Pvt Ltd,112,250000,expansion,10295154,1057402,0.81,6.0,7,13046.32,14,0,commercial,49,1,8.0,1,2,0.02,7,0
B1517,LLP,25,1000000,working capital,11390077,795776,1.19,7.0,0,41514.78,10,1,commercial,9,1,0.0,0,1,0.09,16,1
B1518,Proprietorship,59,1000000,working capital,13820591,865104,1.33,8.0,8,,1,0,coworking,11,1,,1,2,0.07,2,0
B1519,Pvt Ltd,50,5000000,working capital,18763925,1388937,1.13,3.0,5,17164.11,8,0,coworking,27,1,4.0,1,2,0.27,0,0
B1520,Partnership,95,100000,equipment purchase,5593659,510285,0.91,49.0,1,9941.03,12,0,coworking,59,1,2.0,1,2,0.02,6,0
B1521,Pvt Ltd,85,250000,inventory,17521577,1344944,1.09,21.0,7,25353.99,5,0,coworking,58,1,,1,3,0.01,20,0
B1522,Partnership,52,250000,working capital,13818834,1185547,0.97,8.0,4,42165.54,9,0,commercial,13,1,0.0,1,0,0.02,1,0
B1523,Pvt Ltd,15,1000000,working capital,18760204,1792510,0.87,28.0,4,26402.61,14,0,residential,1,1,5.0,1,2,0.05,9,0
B1524,Pvt Ltd,27,100000,working capital,18183246,1432062,1.06,30.0,4,6172.0,12,0,commercial,39,1,6.0,1,0,0.01,17,0
B1525,LLP,20,100000,inventory,16118461,1745920,0.77,32.0,6,12588.8,6,0,virtual office,11,1,8.0,0,2,0.01,6,0
B1526,Pvt Ltd,59,5000000,inventory,4457396,326418,1.14,11.0,6,28143.09,3,0,virtual office,57,0,8.0,1,1,1.12,4,0
B1527,Pvt Ltd,28,100000,working capital,19067022,2044857,0.78,20.0,9,29159.37,12,0,commercial,3,1,6.0,1,1,0.01,3,0
B1528,Pvt Ltd,70,1000000,working capital,8969178,614252,1.22,16.0,10,28845.3,7,0,commercial,2,1,4.0,1,0,0.11,13,0
B1529,Proprietorship,65,250000,expansion,16849549,1076347,1.3,25.0,6,,3,0,commercial,46,1,6.0,0,2,0.01,23,0
B1530,LLP,75,1000000,inventory,15498645,1485930,0.87,45.0,11,37684.79,7,0,commercial,42,1,0.0,1,0,0.06,2,0
B1531,Pvt Ltd,56,500000,expansion,4426427,413644,0.89,9.0,9,45471.41,8,0,coworking,24,0,6.0,1,0,0.11,12,0
B1532,LLP,54,2500000,working capital,1452573,143647,0.84,39.0,1,25525.95,5,0,virtual office,20,0,9.0,1,3,1.72,2,1
B1533,Proprietorship,109,2500000,working capital,19054398,1438851,1.1,49.0,7,35941.46,5,0,commercial,49,0,3.0,1,2,0.13,7,0
B1534,Pvt Ltd,91,100000,working capital,17971136,1884699,0.79,40.0,0,45700.77,14,0,commercial,40,1,1.0,0,3,0.01,17,1
B1535,LLP,117,100000,working capital,6194166,398330,1.3,40.0,12,32131.14,11,0,commercial,15,1,5.0,1,2,0.02,18,0
B1536,Pvt Ltd,38,250000,equipment purchase,935643,55995,1.39,3.0,1,,14,0,coworking,54,0,6.0,1,4,0.27,3,1
B1537,Pvt Ltd,50,500000,equipment purchase,3575152,262278,1.14,16.0,10,36070.22,12,0,coworking,6,1,6.0,1,4,0.14,9,0
B1538,LLP,13,2500000,equipment purchase,8048352,790344,0.85,12.0,6,13025.12,8,0,commercial,20,1,7.0,0,3,0.31,2,0
B1539,Pvt Ltd,81,500000,expansion,9255055,851302,0.91,15.0,3,29133.89,11,0,residential,22,1,4.0,1,4,0.05,11,0
B1540,LLP,116,500000,inventory,5901882,472999,1.04,4.0,10,42108.76,6,0,residential,2,1,9.0,1,3,0.08,23,0
B1541,Proprietorship,34,100000,working capital,15145720,1077557,1.17,23.0,9,14808.14,14,0,commercial,54,1,9.0,1,4,0.01,5,0
B1542,Pvt Ltd,102,1000000,inventory,19235519,1179079,1.36,27.0,9,44858.52,6,0,coworking,15,1,,1,3,0.05,18,0
B1543,LLP,34,5000000,equipment purchase,11730162,882209,1.11,39.0,8,31019.1,2,0,commercial,48,0,3.0,1,4,0.43,22,1
B1544,Pvt Ltd,64,250000,working capital,10314615,838932,1.02,43.0,10,21158.74,4,0,commercial,34,1,,1,0,0.02,3,1
B1545,Partnership,47,500000,working capital,13876632,1286149,0.9,37.0,8,31159.15,5,0,commercial,54,1,0.0,1,0,0.04,2,0
B1546,LLP,88,100000,expansion,13964891,1265665,0.92,,2,20093.0,11,0,residential,46,1,7.0,1,0,0.01,17,1
B1547,Proprietorship,118,500000,inventory,13605611,1438120,0.79,43.0,12,41901.78,10,0,commercial,57,1,3.0,0,2,0.04,7,0
B1548,LLP,114,500000,expansion,18931202,1199350,1.32,37.0,12,24115.93,5,0,residential,55,1,4.0,0,1,0.03,23,0
B1549,Pvt Ltd,87,100000,equipment purchase,16945518,1273461,1.11,40.0,2,45060.67,3,0,virtual office,31,1,3.0,0,3,0.01,1,0
B1550,LLP,108,250000,inventory,13991953,1153108,1.01,21.0,8,,10,1,residential,30,1,6.0,0,1,0.02,6,1
B1551,Partnership,37,250000,equipment purchase,9460774,869143,0.91,29.0,12,33018.42,5,0,residential,28,1,9.0,0,0,0.03,10,0
B1552,LLP,28,500000,expansion,19423218,1614184,1.0,29.0,9,49887.22,5,0,commercial,52,1,2.0,0,3,0.03,5,0
B1553,Proprietorship,78,500000,expansion,3515750,365536,0.8,,11,7348.29,2,1,commercial,33,1,,1,3,0.14,18,0
B1554,Proprietorship,62,100000,working capital,12899812,1145076,0.94,11.0,7,,5,0,commercial,41,1,9.0,1,2,0.01,2,0
B1555,Pvt Ltd,73,1000000,inventory,16273753,981577,1.38,28.0,0,6943.61,3,0,commercial,49,1,1.0,1,1,0.06,12,1
B1556,Pvt Ltd,46,1000000,inventory,558791,35771,1.3,10.0,5,41943.32,3,0,coworking,21,1,6.0,1,1,1.79,19,0
B1557,LLP,23,250000,working capital,13879028,1332499,0.87,5.0,6,29822.67,5,0,coworking,46,1,9.0,0,4,0.02,23,0
B1558,LLP,52,100000,inventory,11864975,1116763,0.89,25.0,10,46907.98,9,0,commercial,23,1,5.0,1,3,0.01,1,0
B1559,Proprietorship,45,1000000,equipment purchase,8709842,574920,1.26,33.0,7,43297.83,14,0,virtual office,42,0,1.0,1,0,0.11,4,0
B1560,Partnership,92,5000000,equipment purchase,639118,39164,1.36,,11,3743.6,2,0,residential,13,0,7.0,1,4,7.82,14,0
B1561,Pvt Ltd,77,250000,expansion,7768516,677952,0.95,49.0,11,,9,0,coworking,45,1,5.0,1,4,0.03,9,0
B1562,Pvt Ltd,83,250000,equipment purchase,3226217,290747,0.92,33.0,1,30058.55,3,0,commercial,26,1,7.0,1,3,0.08,5,0
B1563,Proprietorship,101,100000,inventory,11239924,731700,1.28,25.0,12,25915.73,13,0,residential,54,1,5.0,0,4,0.01,13,1
B1564,Pvt Ltd,56,500000,working capital,19747610,1619586,1.02,33.0,3,8428.26,12,0,commercial,19,1,3.0,1,3,0.03,20,0
B1565,Proprietorship,24,100000,expansion,17866568,1315424,1.13,9.0,0,6467.96,7,0,commercial,27,1,7.0,1,3,0.01,0,0
B1566,LLP,35,250000,working capital,10256512,1075893,0.79,27.0,1,28199.54,12,0,commercial,40,1,3.0,1,4,0.02,8,0
B1567,LLP,61,500000,expansion,8916032,617821,1.2,25.0,2,2446.08,14,0,commercial,59,1,5.0,0,0,0.06,9,0
B1568,Pvt Ltd,114,500000,expansion,7526855,715023,0.88,4.0,3,43686.77,1,0,commercial,7,1,4.0,1,4,0.07,21,0
B1569,LLP,95,250000,working capital,4304130,362580,0.99,9.0,11,40354.15,1,1,commercial,25,1,3.0,0,1,0.06,20,0
B1570,LLP,18,250000,equipment purchase,7804737,459772,1.41,46.0,11,,8,0,residential,49,1,6.0,1,3,0.03,10,0
B1571,LLP,98,500000,equipment purchase,4144221,348874,0.99,15.0,5,799.86,9,1,residential,40,0,7.0,0,0,0.12,21,1
B1572,Pvt Ltd,28,100000,equipment purchase,13352195,845286,1.32,16.0,7,2382.05,11,0,coworking,36,1,,0,2,0.01,18,0
B1573,Proprietorship,49,100000,equipment purchase,9161978,836364,0.91,16.0,8,27491.96,6,0,commercial,7,1,,0,2,0.01,8,0
B1574,Proprietorship,17,2500000,working capital,8207410,710839,0.96,13.0,3,49721.28,14,1,coworking,55,1,6.0,1,4,0.3,11,1
B1575,Pvt Ltd,32,100000,inventory,13428708,790342,1.42,14.0,0,17115.81,3,0,residential,20,1,3.0,1,2,0.01,19,0
B1576,Pvt Ltd,45,1000000,expansion,1540062,105598,1.22,22.0,4,17218.74,6,0,commercial,24,1,1.0,1,1,0.65,5,0
B1577,Pvt Ltd,115,2500000,working capital,5289239,513820,0.86,21.0,4,6713.9,7,0,residential,28,1,2.0,1,4,0.47,15,1
B1578,LLP,29,250000,equipment purchase,9049495,652667,1.16,9.0,8,,5,0,residential,49,0,9.0,1,4,0.03,12,0
B1579,LLP,116,250000,equipment purchase,17153946,1428880,1.0,41.0,5,32333.83,3,1,commercial,5,1,3.0,1,0,0.01,5,0
B1580,LLP,61,500000,working capital,14122631,1044132,1.13,4.0,4,5066.12,8,0,residential,52,1,,0,3,0.04,12,1
B1581,Pvt Ltd,50,2500000,expansion,2317820,242002,0.8,10.0,9,23370.61,13,0,residential,36,1,8.0,0,4,1.08,14,0
B1582,Pvt Ltd,21,2500000,working capital,8549412,728086,0.98,35.0,9,33353.75,5,0,coworking,31,1,9.0,1,4,0.29,17,0
B1583,LLP,39,1000000,working capital,4173547,388732,0.89,9.0,4,,1,0,coworking,51,1,5.0,1,4,0.24,15,0
B1584,LLP,72,100000,inventory,9642988,602755,1.33,48.0,7,33718.18,12,0,residential,33,0,9.0,0,0,0.01,8,0
B1585,Partnership,74,500000,working capital,5618037,339049,1.38,16.0,10,40813.52,9,0,residential,53,1,4.0,1,4,0.09,17,0
B1586,Pvt Ltd,64,250000,inventory,10019308,714323,1.17,49.0,0,34290.77,3,1,coworking,24,1,8.0,0,3,0.02,9,0
B1587,LLP,65,500000,expansion,11467680,846200,1.13,,4,30805.71,2,0,coworking,10,1,7.0,1,3,0.04,11,0
B1588,LLP,96,100000,working capital,18034974,1672155,0.9,10.0,0,42679.51,3,0,virtual office,38,1,7.0,0,4,0.01,4,0
B1589,LLP,24,100000,working capital,16447114,1427442,0.96,21.0,6,45029.43,7,0,residential,44,1,7.0,1,0,0.01,1,0
B1590,Proprietorship,85,1000000,equipment purchase,10975116,845767,1.08,15.0,6,19444.32,12,0,commercial,49,1,7.0,0,2,0.09,8,0
B1591,LLP,51,500000,working capital,18204244,1657299,0.92,15.0,12,8662.49,11,0,virtual office,5,1,7.0,1,4,0.03,17,0
B1592,Partnership,15,250000,equipment purchase,2328864,154896,1.25,11.0,9,40893.02,12,0,commercial,54,1,9.0,1,4,0.11,23,0
B1593,Pvt Ltd,86,250000,equipment purchase,4782378,294153,1.35,,7,10687.66,10,1,commercial,31,1,9.0,0,1,0.05,0,0
B1594,Pvt Ltd,102,2500000,equipment purchase,10045529,1015186,0.82,48.0,6,46447.53,8,0,commercial,9,1,,0,0,0.25,13,0
B1595,Proprietorship,13,1000000,expansion,2004895,173484,0.96,42.0,10,1143.9,2,0,commercial,32,1,1.0,1,3,0.5,2,0
B1596,LLP,64,250000,inventory,5797083,526306,0.92,41.0,8,46063.56,14,0,commercial,41,0,1.0,1,0,0.04,22,0
B1597,Pvt Ltd,27,100000,equipment purchase,4662974,343639,1.13,47.0,7,29459.15,13,0,virtual office,5,0,4.0,1,0,0.02,10,0
